ADM0_A3,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AZE,,,,2,0,1,0,0,0,0,0,27,37,9,35,29,29,41,29,49,75,66,109,136,149,148,182,228,238
ARM,,0,0,0,0,0,0,0,1,2,2,3,5,24,35,37,94,80,86,102,204,239,437,433,455,459,548,517,514
BGR,,4,41,22,20,4,7,11,12,18,14,34,30,26,27,49,40,43,63,50,83,92,126,123,171,163,201,157,200
GEO,,,,,1,3,1,6,0,6,2,8,21,25,35,79,93,95,100,163,242,272,340,350,385,455,424,526,490
ROU,,,,,,,,,,,,,,,,,,,,,,,445,522,505,537,737,854,895
RUS,,,22,50,274,105,85,89,105,63,202,1559,4382,4078,19560,59014,87823,49880,36115,33551,35489,39350,44925,54480,58186,58298,62384,69849,77896
TUR,2,5,34,35,31,33,38,64,74,86,91,119,143,109,119,158,184,190,197,210,332,276,348,395,470,523,710,1068,1313
UKR,,,,,,,,,,183,1490,5400,8913,8575,5827,6212,7000,8756,10009,12491,13770,16078,17669,18963,19840,20489,21177,20777,21086
BLR,,,,,,,,,,,113,1021,653,554,411,527,578,915,713,778,751,733,993,883,1073,1063,1194,1223,1533
MDA,,,8,9,6,2,0,2,3,3,7,55,407,413,157,176,234,206,257,360,538,621,737,795,704,704,721,764,704
